date,text,text_cleaned,topic,sentiment
2021-11-24 23:59:56+00:00,"Vintage Cuckoo Clock, German Black Forest Chalet Cuckoo Clock, HUBERT HERR Wooden Wall Clock, Musical Cuckoo Clock Wall Decor, Germany, 50s https://t.co/MlSjygWz9h #Vintage #FREESHIPPING #Christmas #Holidays #Gifts #covid19 #BLACKFRIDAY #ChaletCuckooClock https://t.co/I4RgUOP0WF",vintage cuckoo clock german black forest chalet cuckoo clock hubert herr wooden wall clock musical cuckoo clock wall decor germany 50s,a,ne
2021-11-24 23:59:55+00:00,"$700 flights to Amsterdam in January. To go or not to go? I’m just wondering what the COVID-19 situation will look like there right after the holidays 😐

#Amsterdam #COVID19 #Covid_19 #Travel",flights amsterdam january wondering covid19 situation look holidays,t,ne
2021-11-24 23:59:31+00:00,OMG I’m going to see my family in a few hours. I’m practically in tears already. How good are vaccines? #COVID19 https://t.co/Rkwqql4edR,omg family hours practically tears vaccines,v,p
2021-11-24 23:59:20+00:00,"🧵These sociopaths have decided not to wear masks in Terminal A @DFWAirport during Thanksgiving travel, in violation of federal law.

Shame on them for endangering everyone around them &amp; ensuring the pandemic continues.

#COVIDIOTS #COVID19 #DFW

cc: @TSA https://t.co/1z9vfkXw2J",sociopaths decided wear masks terminal thanksgiving travel violation federal endangering amp ensuring pandemic,m,n
2021-11-24 23:59:18+00:00,US State Population Distribution by County  For IN   2021-11-22:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid https://t.co/cPBAiuiZ07,population distribution county covid insights analytics team usafacts,s,ne
2021-11-24 23:59:08+00:00,"Seeing #family for #Thanksgiving? There's still time to get your rapid at-home #COVID19 tests, but hurry and call ahead!-supplies are low! At home tests can allow you to enjoy your gathering this year w/o the worry of loved ones getting infected! https://t.co/n2TIAFg7nT",seeing theres time rapid athome tests hurry call aheadsupplies low home tests allow enjoy gathering wo worry loved ones getting infected,m,ne
2021-11-24 23:58:49+00:00,"#Christmas is commercialised, it used to be a religious occasion but now it’s all about money ! History will talk about how #COVID19 was commercialised as well in 2020/21 ! Vaccine companies banned any successful treatment with the help of FDA, WHO ,CDC and weak governments",commercialised religious occasion money  history talk commercialised  vaccine companies banned successful treatment help fda cdc weak governments,o,n
2021-11-24 23:58:45+00:00,"AGREE! I don't understand why MORE owners HAVEN'T MANDATED
#COVID19 #vaccines ! That's main reason USA cannot get #COVID19 under control! But in a money making business like @NFL its stupidity NOT TOO! If the owners docked their checks for EACH GAME MISSED they MIGHT wake up! https://t.co/EEp6IPRo2i",agree dont understand owners havent  thats main reason usa control money business stupidity owners docked checks game missed wake,o,ne
2021-11-24 23:58:33+00:00,"As #COVID19 cases skyrocket in children, #doctors warn of lifelong side effects | https://t.co/aZlegTEk5z https://t.co/5Qf51q89iD",skyrocket children warn lifelong effects ,r,n
2021-11-24 23:58:05+00:00,Love hearing a the #vaccine talk at #school. Feeling safer with every story I hear of kids getting the shot. I'm so ready to get closer to normal teaching &amp; bring back all of the fun! I'm convinced that kids feul community spread and vaccines will stop transmission in it's tracks,love hearing talk feeling safer story hear kids getting shot im ready closer normal teaching amp bring fun im convinced kids feul community spread vaccines stop transmission tracks,v,p
